,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
38,13/04/2024,15:00,Premier League,Matchweek 33,Sat,Home,D,2,2,Wolves,1.9,1,46,29604,Ryan Yates,4-2-3-1,Craig Pawson,Match Report,,18,9,17,0,0,0,2024,NottinghamForest
39,21/04/2024,13:30,Premier League,Matchweek 34,Sun,Away,L,0,2,Everton,0.9,0.3,59,39239,Morgan Gibbs-White,4-2-3-1,Anthony Taylor,Match Report,,8,3,13.7,0,0,0,2024,NottinghamForest
40,28/04/2024,16:30,Premier League,Matchweek 35,Sun,Home,L,0,2,Manchester City,1.9,0.9,34,29677,Morgan Gibbs-White,05/04/2001,Simon Hooper,Match Report,,14,2,15,1,0,0,2024,NottinghamForest
41,04/05/2024,15:00,Premier League,Matchweek 36,Sat,Away,W,3,1,Sheffield Utd,1.5,2.2,46,28516,Ryan Yates,4-2-3-1,Chris Kavanagh,Match Report,,15,4,17.2,0,0,0,2024,NottinghamForest
42,11/05/2024,17:30,Premier League,Matchweek 37,Sat,Home,L,2,3,Chelsea,1.5,1.6,33,29708,Ryan Yates,05/04/2001,Tony Harrington,Match Report,,20,4,17.2,0,0,0,2024,NottinghamForest
43,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,2,1,Burnley,1.7,1.2,28,21109,Ryan Yates,4-2-3-1,Graham Scott,Match Report,,12,6,17.2,0,0,0,2024,NottinghamForest
0,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,L,1,4,Brighton,1.5,4,30,31872,Tom Lockyer,03/05/2002,David Coote,Match Report,,8,2,16.6,0,1,1,2024,LutonTown
1,25/08/2023,20:00,Premier League,Matchweek 3,Fri,Away,L,0,3,Chelsea,0.4,2.2,33,39893,Tom Lockyer,05/03/2002,Robert Jones,Match Report,,11,1,19,1,0,0,2024,LutonTown
3,01/09/2023,20:00,Premier League,Matchweek 4,Fri,Home,L,1,2,West Ham,1.4,1,39,10802,Carlton Morris,05/03/2002,Paul Tierney,Match Report,,16,1,11.9,0,0,0,2024,LutonTown
4,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,0,1,Fulham,1.1,1,23,24467,Tom Lockyer,05/03/2002,Michael Salisbury,Match Report,,7,2,10,0,0,0,2024,LutonTown
5,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,2.1,0.6,57,10893,Tom Lockyer,03/04/2003,Joshua Smith,Match Report,,19,3,17.3,0,1,1,2024,LutonTown
7,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,2,1,Everton,0.9,2.9,33,39289,Tom Lockyer,03/04/2003,Anthony Taylor,Match Report,,9,2,13.4,0,0,0,2024,LutonTown
8,03/10/2023,19:30,Premier League,Matchweek 2,Tue,Home,L,1,2,Burnley,1.3,1.1,49,10918,Tom Lockyer,03/04/2003,Peter Bankes,Match Report,,18,2,13.1,0,0,0,2024,LutonTown
9,07/10/2023,12:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Tottenham,0.8,1.9,34,10290,Tom Lockyer,04/04/2002,John Brooks,Match Report,,12,2,16.3,0,0,0,2024,LutonTown
10,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Away,D,2,2,Nott'ham Forest,1.7,2.9,43,29361,Tom Lockyer,04/04/2002,Samuel Barrott,Match Report,,13,4,17.6,0,0,0,2024,LutonTown
11,29/10/2023,14:00,Premier League,Matchweek 10,Sun,Away,L,1,3,Aston Villa,0.5,2.3,30,41785,Tom Lockyer,03/04/2003,John Brooks,Match Report,,7,1,17.3,0,0,0,2024,LutonTown
12,05/11/2023,16:30,Premier League,Matchweek 11,Sun,Home,D,1,1,Liverpool,0.8,2.6,27,11049,Tom Lockyer,03/04/2003,Andy Madley,Match Report,,8,5,17.9,0,0,0,2024,LutonTown
13,11/11/2023,15:00,Premier League,Matchweek 12,Sat,Away,L,0,1,Manchester Utd,0.4,2.2,36,73599,Tom Lockyer,03/04/2003,Graham Scott,Match Report,,10,4,21.9,1,0,0,2024,LutonTown
14,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Home,W,2,1,Crystal Palace,0.9,1.6,39,11029,Tom Lockyer,03/04/2003,Jarred Gillett,Match Report,,8,3,14.2,0,0,0,2024,LutonTown
15,02/12/2023,15:00,Premier League,Matchweek 14,Sat,Away,L,1,3,Brentford,0.2,3.1,32,17075,Tom Lockyer,03/04/2003,Anthony Taylor,Match Report,,7,1,23.8,0,0,0,2024,LutonTown
16,05/12/2023,20:15,Premier League,Matchweek 15,Tue,Home,L,3,4,Arsenal,0.5,2.2,34,11031,Pelly Ruddock Mpanzu,03/04/2003,Samuel Barrott,Match Report,,6,4,18.8,0,0,0,2024,LutonTown
17,10/12/2023,14:00,Premier League,Matchweek 16,Sun,Home,L,1,2,Manchester City,0.3,1.6,35,11047,Tom Lockyer,03/04/2003,Tim Robinson,Match Report,,4,2,19.2,0,0,0,2024,LutonTown
18,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Home,W,1,0,Newcastle Utd,1.4,1.4,35,11042,Amari'i Bell,03/04/2003,Darren England,Match Report,,16,5,19.4,0,0,0,2024,LutonTown
19,26/12/2023,15:00,Premier League,Matchweek 19,Tue,Away,W,3,2,Sheffield Utd,0.6,2.4,49,31041,Amari'i Bell,03/04/2003,Samuel Allison,Match Report,,12,4,17.9,1,0,0,2024,LutonTown
20,30/12/2023,12:30,Premier League,Matchweek 20,Sat,Home,L,2,3,Chelsea,2.3,1.5,52,11041,Amari'i Bell,03/04/2003,Paul Tierney,Match Report,,15,6,11.6,1,0,0,2024,LutonTown
22,12/01/2024,19:45,Premier League,Matchweek 21,Fri,Away,D,1,1,Burnley,0.9,1.1,61,20155,Amari'i Bell,03/04/2003,Tony Harrington,Match Report,,14,5,18.2,0,0,0,2024,LutonTown
25,30/01/2024,19:45,Premier League,Matchweek 22,Tue,Home,W,4,0,Brighton,3.1,0.9,41,10994,Carlton Morris,03/04/2003,Robert Jones,Match Report,,18,8,13.8,1,0,0,2024,LutonTown
26,03/02/2024,15:00,Premier League,Matchweek 23,Sat,Away,D,4,4,Newcastle Utd,2.4,2.3,45,52211,Carlton Morris,03/04/2003,Thomas Bramall,Match Report,,10,7,14,0,1,1,2024,LutonTown
27,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Home,L,1,3,Sheffield Utd,1.8,1.7,74,11138,Carlton Morris,03/04/2003,Chris Kavanagh,Match Report,,19,4,17.3,0,1,1,2024,LutonTown
28,18/02/2024,16:30,Premier League,Matchweek 25,Sun,Home,L,1,2,Manchester Utd,1.8,2.9,58,11483,Carlton Morris,03/04/2003,David Coote,Match Report,,22,4,18.6,1,0,0,2024,LutonTown
29,21/02/2024,19:30,Premier League,Matchweek 26,Wed,Away,L,1,4,Liverpool,0.9,3.3,40,59713,Carlton Morris,03/04/2003,Andy Madley,Match Report,,12,3,19,1,0,0,2024,LutonTown
31,02/03/2024,17:30,Premier League,Matchweek 27,Sat,Home,L,2,3,Aston Villa,1.8,1.9,46,11594,Carlton Morris,03/04/2003,Michael Oliver,Match Report,,14,4,11.4,1,0,0,2024,LutonTown
32,09/03/2024,15:00,Premier League,Matchweek 28,Sat,Away,D,1,1,Crystal Palace,0.8,2.7,51,25103,Carlton Morris,03/04/2003,Sunny Singh,Match Report,,8,2,11.9,0,0,0,2024,LutonTown
33,13/03/2024,19:30,Premier League,Matchweek 17,Wed,Away,L,3,4,Bournemouth,2,2.3,41,11198,Carlton Morris,03/04/2003,Samuel Allison,Match Report,,8,4,8.4,0,0,0,2024,LutonTown
34,16/03/2024,15:00,Premier League,Matchweek 29,Sat,Home,D,1,1,Nott'ham Forest,0.6,2,60,11630,Carlton Morris,03/04/2003,Darren England,Match Report,,10,4,18.5,0,0,0,2024,LutonTown
35,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Away,L,1,2,Tottenham,0.5,2.9,30,61534,Carlton Morris,04/03/2003,Jarred Gillett,Match Report,,7,3,17.7,0,0,0,2024,LutonTown
36,03/04/2024,19:30,Premier League,Matchweek 31,Wed,Away,L,0,2,Arsenal,0.3,0.7,42,60262,Carlton Morris,03/04/2003,Craig Pawson,Match Report,,5,1,15.9,1,0,0,2024,LutonTown
37,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Home,W,2,1,Bournemouth,1.5,0.4,55,11797,Carlton Morris,03/04/2003,Andy Madley,Match Report,,19,9,18.2,0,0,0,2024,LutonTown
38,13/04/2024,15:00,Premier League,Matchweek 33,Sat,Away,L,1,5,Manchester City,0.5,4.2,27,52149,Carlton Morris,03/04/2003,John Brooks,Match Report,,4,2,9.3,0,0,0,2024,LutonTown
39,20/04/2024,15:00,Premier League,Matchweek 34,Sat,Home,L,1,5,Brentford,0.6,3.1,53,11877,Carlton Morris,03/04/2003,Jarred Gillett,Match Report,,6,3,17,0,0,0,2024,LutonTown
40,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Away,L,1,2,Wolves,0.6,1.2,42,31531,Carlton Morris,03/04/2003,David Coote,Match Report,,9,6,17.4,0,0,0,2024,LutonTown
41,03/05/2024,20:00,Premier League,Matchweek 36,Fri,Home,D,1,1,Everton,0.8,1.4,51,11873,Carlton Morris,03/04/2003,Tim Robinson,Match Report,,18,5,18.4,0,0,0,2024,LutonTown
42,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Away,L,1,3,West Ham,0.3,3.2,42,62475,Carlton Morris,03/04/2003,Michael Oliver,Match Report,,4,1,12.5,0,0,0,2024,LutonTown
43,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,2,4,Fulham,2,1.1,41,12027,Carlton Morris,03/04/2003,Matt Donohue,Match Report,,14,5,19.3,2,1,1,2024,LutonTown
0,11/08/2023,20:00,Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,0.3,1.9,35,21572,Josh Cullen,05/04/2001,Craig Pawson,Match Report,,6,1,14.9,0,0,0,2024,Burnley
1,27/08/2023,14:00,Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,0.7,2.5,57,21591,Josh Cullen,04/04/2002,Michael Salisbury,Match Report,,9,2,17.7,0,0,0,2024,Burnley
3,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,1.3,2.2,47,21750,Josh Cullen,04/04/2002,Darren England,Match Report,,16,4,17.9,1,0,0,2024,Burnley
4,18/09/2023,19:45,Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,0.5,0.7,54,28958,Josh Brownhill,4-2-3-1,Robert Jones,Match Report,,10,3,18.9,0,0,0,2024,Burnley
5,23/09/2023,20:00,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,1.1,1,61,21593,Josh Brownhill,04/03/2003,Tony Harrington,Match Report,,12,4,15.6,0,0,0,2024,Burnley
7,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,0.6,3.1,47,51687,Josh Brownhill,4-2-3-1,Thomas Bramall,Match Report,,8,2,16.3,0,0,0,2024,Burnley
8,03/10/2023,19:30,Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,1.1,1.3,51,10918,Josh Brownhill,04/03/2003,Peter Bankes,Match Report,,14,4,20.2,0,0,0,2024,Burnley
9,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,0.7,1.9,38,21654,Josh Brownhill,04/03/2003,Stuart Attwell,Match Report,,10,3,18.2,1,0,0,2024,Burnley
10,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Away,L,0,3,Brentford,1.1,3.1,50,17029,Josh Cullen,4-2-3-1,Joshua Smith,Match Report,,6,1,20.2,0,0,0,2024,Burnley
11,28/10/2023,15:00,Premier League,Matchweek 10,Sat,Away,L,1,2,Bournemouth,0.8,1.1,55,11152,Josh Brownhill,04/03/2003,Samuel Barrott,Match Report,,6,3,18,0,0,0,2024,Burnley
13,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Home,L,0,2,Crystal Palace,1.1,1.3,67,21578,Josh Brownhill,04/04/2002,Peter Bankes,Match Report,,17,5,13.3,0,0,0,2024,Burnley
14,11/11/2023,15:00,Premier League,Matchweek 12,Sat,Away,L,1,3,Arsenal,0.3,1.8,37,60232,Josh Brownhill,04/04/2002,Michael Oliver,Match Report,,8,5,19.3,0,0,0,2024,Burnley
15,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Home,L,1,2,West Ham,1.3,0.9,50,21319,Josh Brownhill,04/04/2002,Samuel Barrott,Match Report,,10,4,17.2,0,1,1,2024,Burnley
16,02/12/2023,15:00,Premier League,Matchweek 14,Sat,Home,W,5,0,Sheffield Utd,1.8,0.4,63,21478,Josh Brownhill,04/04/2002,Chris Kavanagh,Match Report,,19,7,15.9,0,0,0,2024,Burnley
17,05/12/2023,19:30,Premier League,Matchweek 15,Tue,Away,L,0,1,Wolves,0.9,0.8,49,30439,Josh Brownhill,04/04/2002,Jarred Gillett,Match Report,,12,3,21.9,2,0,0,2024,Burnley
18,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Away,D,1,1,Brighton,0.6,2.6,28,31511,Josh Brownhill,04/04/2002,Simon Hooper,Match Report,,6,3,12.9,0,0,0,2024,Burnley
19,16/12/2023,17:30,Premier League,Matchweek 17,Sat,Home,L,0,2,Everton,0.7,1.4,61,21413,Josh Brownhill,04/04/2002,Anthony Taylor,Match Report,,14,2,18.8,1,0,0,2024,Burnley
20,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,W,2,0,Fulham,0.4,1.3,34,23598,Josh Brownhill,04/04/2002,Rebecca Welch,Match Report,,7,2,19.5,0,0,0,2024,Burnley
21,26/12/2023,17:30,Premier League,Matchweek 19,Tue,Home,L,0,2,Liverpool,0.8,1.8,32,21624,Josh Brownhill,04/04/2002,Paul Tierney,Match Report,,9,0,16.7,0,0,0,2024,Burnley
22,30/12/2023,15:00,Premier League,Matchweek 20,Sat,Away,L,2,3,Aston Villa,1.2,3.2,36,41613,Josh Brownhill,04/04/2002,Stuart Attwell,Match Report,,9,5,15.4,0,0,0,2024,Burnley
24,12/01/2024,19:45,Premier League,Matchweek 21,Fri,Home,D,1,1,Luton Town,1.1,0.9,39,20155,Josh Brownhill,04/04/2002,Tony Harrington,Match Report,,13,7,18.8,1,0,0,2024,Burnley
25,31/01/2024,19:30,Premier League,Matchweek 22,Wed,Away,L,1,3,Manchester City,1.4,1.7,26,52143,Josh Brownhill,04/04/2002,Samuel Barrott,Match Report,,8,3,14.7,0,0,0,2024,Burnley
26,03/02/2024,15:00,Premier League,Matchweek 23,Sat,Home,D,2,2,Fulham,1.8,1.5,44,20203,Josh Brownhill,04/04/2002,Darren Bond,Match Report,,12,4,15.4,0,0,0,2024,Burnley
27,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Away,L,1,3,Liverpool,1.3,2.8,30,59896,Josh Brownhill,04/04/2002,Tim Robinson,Match Report,,9,4,17.6,0,0,0,2024,Burnley
28,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Home,L,0,5,Arsenal,0.3,2.3,36,21311,Josh Brownhill,04/04/2002,Jarred Gillett,Match Report,,8,0,18.6,0,0,0,2024,Burnley
29,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Away,L,0,3,Crystal Palace,0.1,2.4,44,24042,Josh Brownhill,04/04/2002,Lewis Smith,Match Report,,2,0,12,0,0,0,2024,Burnley
30,03/03/2024,13:00,Premier League,Matchweek 27,Sun,Home,L,0,2,Bournemouth,1.5,1.1,74,19713,Josh Cullen,04/04/2002,David Coote,Match Report,,20,5,18.9,1,0,0,2024,Burnley
31,10/03/2024,14:00,Premier League,Matchweek 28,Sun,Away,D,2,2,West Ham,0.7,2.1,48,62441,Josh Cullen,04/04/2002,Darren England,Match Report,,11,4,24.8,1,0,0,2024,Burnley
32,16/03/2024,15:00,Premier League,Matchweek 29,Sat,Home,W,2,1,Brentford,2.8,1.1,60,20431,Josh Cullen,04/04/2002,Darren Bond,Match Report,,16,5,19.2,0,1,1,2024,Burnley
33,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Away,D,2,2,Chelsea,1.6,4.2,31,39535,Josh Cullen,04/04/2002,Darren England,Match Report,,18,6,14.4,2,0,0,2024,Burnley
34,02/04/2024,19:45,Premier League,Matchweek 31,Tue,Home,D,1,1,Wolves,1.3,0.9,51,21528,Josh Cullen,04/04/2002,Thomas Bramall,Match Report,,13,6,18.4,0,0,0,2024,Burnley
35,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,L,0,1,Everton,0.5,0.9,62,39125,Josh Cullen,04/04/2002,Michael Oliver,Match Report,,6,1,16.5,1,0,0,2024,Burnley
36,13/04/2024,15:00,Premier League,Matchweek 33,Sat,Home,D,1,1,Brighton,1.7,0.9,44,20687,Josh Cullen,04/04/2002,Simon Hooper,Match Report,,11,3,17.1,0,0,0,2024,Burnley
37,20/04/2024,15:00,Premier League,Matchweek 34,Sat,Away,W,4,1,Sheffield Utd,2.2,2.4,51,28964,Josh Cullen,04/04/2002,Andy Madley,Match Report,,16,9,16,0,0,0,2024,Burnley
38,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Away,D,1,1,Manchester Utd,2.1,2.7,52,73571,Josh Cullen,04/04/2002,John Brooks,Match Report,,15,6,19.3,1,1,1,2024,Burnley
39,04/05/2024,15:00,Premier League,Matchweek 36,Sat,Home,L,1,4,Newcastle Utd,1,3.4,47,21781,Josh Brownhill,4-2-3-1,Anthony Taylor,Match Report,,17,5,18.2,0,0,0,2024,Burnley
40,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Away,L,1,2,Tottenham,0.7,2.7,37,61148,Josh Cullen,04/04/2002,Jarred Gillett,Match Report,,7,3,11.8,0,0,0,2024,Burnley
41,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,1,2,Nott'ham Forest,1.2,1.7,72,21109,Josh Cullen,04/04/2002,Graham Scott,Match Report,,20,3,22.4,1,0,0,2024,Burnley
0,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Crystal Palace,0.5,1.9,32,31194,John Egan,03/04/2003,John Brooks,Match Report,,8,1,19.4,0,0,0,2024,SheffieldUnited
1,18/08/2023,19:45,Premier League,Matchweek 2,Fri,Away,L,1,2,Nott'ham Forest,0.5,1.4,50,29432,John Egan,03/04/2003,Peter Bankes,Match Report,,7,3,18.8,0,0,0,2024,SheffieldUnited
2,27/08/2023,14:00,Premier League,Matchweek 3,Sun,Home,L,1,2,Manchester City,0.7,3.5,21,31336,John Egan,03/05/2002,Jarred Gillett,Match Report,,6,1,16.1,0,0,0,2024,SheffieldUnited
4,02/09/2023,12:30,Premier League,Matchweek 4,Sat,Home,D,2,2,Everton,1.2,2.5,46,31124,John Egan,03/05/2002,Andy Madley,Match Report,,13,7,14.1,0,0,0,2024,SheffieldUnited
5,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,1,2,Tottenham,0.7,2.1,30,61706,Chris Basham,03/05/2002,Peter Bankes,Match Report,,7,5,17.6,0,0,0,2024,SheffieldUnited
6,24/09/2023,16:30,Premier League,Matchweek 6,Sun,Home,L,0,8,Newcastle Utd,0.9,3.9,42,31127,John Egan,03/04/2003,Stuart Attwell,Match Report,,9,1,13.7,0,0,0,2024,SheffieldUnited
7,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,West Ham,1.1,2.1,48,62459,John Egan,03/05/2002,Graham Scott,Match Report,,16,2,15.7,0,0,0,2024,SheffieldUnited
8,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,L,1,3,Fulham,0.6,2.2,40,24361,Chris Basham,03/05/2002,Samuel Barrott,Match Report,,5,2,16.6,0,0,0,2024,SheffieldUnited
9,21/10/2023,20:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Manchester Utd,1.4,1.1,38,31543,Oliver Norwood,04/04/2002,Michael Oliver,Match Report,,11,5,25.8,0,1,1,2024,SheffieldUnited
10,28/10/2023,15:00,Premier League,Matchweek 10,Sat,Away,L,0,5,Arsenal,0,2.8,33,60153,Oliver Norwood,04/04/2002,Tim Robinson,Match Report,,2,0,39.9,0,0,0,2024,SheffieldUnited
11,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Home,W,2,1,Wolves,1,1.2,39,29454,Oliver Norwood,3-4-1-2,Robert Jones,Match Report,,10,1,27.6,1,1,1,2024,SheffieldUnited
12,12/11/2023,14:00,Premier League,Matchweek 12,Sun,Away,D,1,1,Brighton,1.1,1.5,39,31367,Oliver Norwood,03/04/2003,John Brooks,Match Report,,9,1,19.3,0,0,0,2024,SheffieldUnited
13,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Home,L,1,3,Bournemouth,0.8,2.9,46,30208,Oliver Norwood,03/04/2003,Andy Madley,Match Report,,10,2,14.9,0,0,0,2024,SheffieldUnited
14,02/12/2023,15:00,Premier League,Matchweek 14,Sat,Away,L,0,5,Burnley,0.4,1.8,37,21478,Oliver Norwood,03/04/2003,Chris Kavanagh,Match Report,,6,3,18.9,0,0,0,2024,SheffieldUnited
15,06/12/2023,19:30,Premier League,Matchweek 15,Wed,Home,L,0,2,Liverpool,1,1.7,25,31406,Anel Ahmedhodžić,03/04/2003,Simon Hooper,Match Report,,6,1,14.6,1,0,0,2024,SheffieldUnited
16,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Home,W,1,0,Brentford,0.8,0.6,41,28509,Anel Ahmedhodžić,4-1-4-1,Stuart Attwell,Match Report,,9,4,21.7,0,0,0,2024,SheffieldUnited
17,16/12/2023,15:00,Premier League,Matchweek 17,Sat,Away,L,0,2,Chelsea,0.4,3.1,22,39599,Anel Ahmedhodžić,4-1-4-1,Andy Madley,Match Report,,6,1,19.7,1,0,0,2024,SheffieldUnited
18,22/12/2023,20:00,Premier League,Matchweek 18,Fri,Away,D,1,1,Aston Villa,0.6,0.9,23,41651,Jack Robinson,03/04/2003,Anthony Taylor,Match Report,,5,2,19.7,0,0,0,2024,SheffieldUnited
19,26/12/2023,15:00,Premier League,Matchweek 19,Tue,Home,L,2,3,Luton Town,2.4,0.6,51,31041,Anel Ahmedhodžić,04/04/2002,Samuel Allison,Match Report,,21,4,16.3,1,0,0,2024,SheffieldUnited
20,30/12/2023,15:00,Premier League,Matchweek 20,Sat,Away,L,0,2,Manchester City,0.3,2.2,20,53108,Jack Robinson,03/04/2003,David Coote,Match Report,,4,2,14.9,0,0,0,2024,SheffieldUnited
22,21/01/2024,14:00,Premier League,Matchweek 21,Sun,Home,D,2,2,West Ham,2.5,2.3,57,29164,Anel Ahmedhodžić,4-1-4-1,Michael Salisbury,Match Report,,20,5,18.5,1,1,1,2024,SheffieldUnited
24,30/01/2024,20:00,Premier League,Matchweek 22,Tue,Away,L,2,3,Crystal Palace,0.8,1.1,47,24781,Anel Ahmedhodžić,4-1-4-1,Tony Harrington,Match Report,,9,5,16.5,0,0,0,2024,SheffieldUnited
25,03/02/2024,17:30,Premier League,Matchweek 23,Sat,Home,L,0,5,Aston Villa,1.4,2.2,37,30187,Anel Ahmedhodžić,05/04/2001,Paul Tierney,Match Report,,10,4,10,0,0,0,2024,SheffieldUnited
26,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Away,W,3,1,Luton Town,1.7,1.8,26,11138,Anel Ahmedhodžić,05/04/2001,Chris Kavanagh,Match Report,,6,2,22.4,0,1,1,2024,SheffieldUnited
27,18/02/2024,14:00,Premier League,Matchweek 25,Sun,Home,L,0,5,Brighton,0.6,2.9,21,29522,Anel Ahmedhodžić,3-5-1-1,Stuart Attwell,Match Report,,6,1,18.7,0,0,0,2024,SheffieldUnited
28,25/02/2024,13:30,Premier League,Matchweek 26,Sun,Away,L,0,1,Wolves,0.6,1.3,37,30789,Anel Ahmedhodžić,03/05/2002,Darren Bond,Match Report,,12,4,16.3,0,0,0,2024,SheffieldUnited
29,04/03/2024,20:00,Premier League,Matchweek 27,Mon,Home,L,0,6,Arsenal,0.2,2.3,20,29157,Anel Ahmedhodžić,04/05/2001,Samuel Barrott,Match Report,,4,0,21.8,0,0,0,2024,SheffieldUnited
30,09/03/2024,15:00,Premier League,Matchweek 28,Sat,Away,D,2,2,Bournemouth,1.2,3.3,31,11074,Jack Robinson,03/05/2002,Anthony Taylor,Match Report,,13,9,14.3,0,0,0,2024,SheffieldUnited
31,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Home,D,3,3,Fulham,1.9,1.3,27,30010,Jack Robinson,03/05/2002,Tim Robinson,Match Report,,8,4,15.7,0,0,0,2024,SheffieldUnited
32,04/04/2024,19:30,Premier League,Matchweek 31,Thu,Away,L,1,3,Liverpool,0.6,1.8,18,60055,Jack Robinson,03/05/2002,Stuart Attwell,Match Report,,5,3,13.6,1,0,0,2024,SheffieldUnited
33,07/04/2024,17:30,Premier League,Matchweek 32,Sun,Home,D,2,2,Chelsea,1.4,0.3,32,28638,Jack Robinson,03/05/2002,Robert Jones,Match Report,,11,5,15.2,0,0,0,2024,SheffieldUnited
34,13/04/2024,15:00,Premier League,Matchweek 33,Sat,Away,L,0,2,Brentford,0.8,1,47,17115,Oliver McBurnie,03/05/2002,Samuel Barrott,Match Report,,8,2,15.1,0,0,0,2024,SheffieldUnited
35,20/04/2024,15:00,Premier League,Matchweek 34,Sat,Home,L,1,4,Burnley,2.4,2.2,49,28964,Oliver McBurnie,4-2-3-1,Andy Madley,Match Report,,18,11,14.9,0,0,0,2024,SheffieldUnited
36,24/04/2024,20:00,Premier League,Matchweek 29,Wed,Away,L,2,4,Manchester Utd,0.8,2.9,29,73549,Oliver Arblaster,03/05/2002,Michael Salisbury,Match Report,,10,4,17.8,1,0,0,2024,SheffieldUnited
37,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Away,L,1,5,Newcastle Utd,1.5,3.1,40,52196,Oliver Arblaster,03/05/2002,Tony Harrington,Match Report,,15,4,13.5,0,0,0,2024,SheffieldUnited
38,04/05/2024,15:00,Premier League,Matchweek 36,Sat,Home,L,1,3,Nott'ham Forest,2.2,1.5,54,28516,Jack Robinson,03/05/2002,Chris Kavanagh,Match Report,,16,4,18,0,1,1,2024,SheffieldUnited
39,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Away,L,0,1,Everton,0.6,2.3,42,39221,Jack Robinson,03/05/2002,Stuart Attwell,Match Report,,13,1,21,0,0,0,2024,SheffieldUnited
40,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,0,3,Tottenham,1,3.1,25,29116,Jack Robinson,05/03/2002,Andy Madley,Match Report,,6,1,18,1,0,0,2024,SheffieldUnited
